District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Sant Kabirnagar,1,SLL Crimes,16300,47.6
Sant Kabirnagar,2,IPC Crimes,12665,37.0
Sant Kabirnagar,3,Crimes Against Women,2470,7.2
Sant Kabirnagar,4,Crimes Against Children,1397,4.1
Sant Kabirnagar,5,Crimes Against SCs,944,2.8
Shahjahanpur,1,SLL Crimes,60867,36.4
Shahjahanpur,2,IPC Crimes,33817,20.2
Shahjahanpur,3,Fraud,7911,4.7
Shahjahanpur,4,Theft,7374,4.4
Shahjahanpur,5,Dowry Deaths,7180,4.3
Shamli,1,SLL Crimes,16268,46.6
Shamli,2,IPC Crimes,14090,40.4
Shamli,3,Crimes Against Women,2975,8.5
Shamli,4,Crimes Against Children,676,1.9
Shamli,5,Missing Persons,311,0.9
Shrawasti,1,IPC Crimes,9115,45.6
Shrawasti,2,SLL Crimes,6956,34.8
Shrawasti,3,Crimes Against Women,2211,11.1
Shrawasti,4,Crimes Against SCs,785,3.9
Shrawasti,5,Crimes Against Children,550,2.7
Sidharthnagar,1,SLL Crimes,16046,48.1
Sidharthnagar,2,IPC Crimes,11484,34.4
Sidharthnagar,3,Crimes Against Women,2787,8.4
Sidharthnagar,4,Crimes Against Children,1348,4.0
Sidharthnagar,5,Crimes Against SCs,729,2.2
Sitapur,1,IPC Crimes,44218,26.8
Sitapur,2,SLL Crimes,43401,26.3
Sitapur,3,Crimes Against Women,8143,4.9
Sitapur,4,Assault,7617,4.6
Sitapur,5,Dowry Deaths,7550,4.6
Sonbhadra,1,SLL Crimes,16180,47.6
Sonbhadra,2,IPC Crimes,12737,37.5
Sonbhadra,3,Crimes Against Women,2315,6.8
Sonbhadra,4,Crimes Against SCs,955,2.8
Sonbhadra,5,Crimes Against Children,858,2.5
Sultanpur,1,IPC Crimes,40435,59.5
Sultanpur,2,SLL Crimes,17304,25.5
Sultanpur,3,Crimes Against Women,5358,7.9
Sultanpur,4,Crimes Against SCs,2133,3.1
Sultanpur,5,Crimes Against Children,1903,2.8
Unnao,1,IPC Crimes,32741,46.3
Unnao,2,SLL Crimes,25680,36.3
Unnao,3,Crimes Against Women,6587,9.3
Unnao,4,Crimes Against Children,2475,3.5
Unnao,5,Crimes Against SCs,2131,3.0
Varanasi,1,IPC Crimes,36371,31.4
Varanasi,2,SLL Crimes,12030,10.4
Varanasi,3,Robbery,7343,6.3
Varanasi,4,Theft,7113,6.1
Varanasi,5,Dowry Deaths,6011,5.2
Varanasi Commissionarate,1,IPC Crimes,21787,68.5
Varanasi Commissionarate,2,SLL Crimes,3264,10.3
Varanasi Commissionarate,3,Crimes Against Women,2911,9.1
Varanasi Commissionarate,4,Missing Persons,1249,3.9
Varanasi Commissionarate,5,Cyber Crimes,1131,3.6
Vasanasi Dehat,1,IPC Crimes,3531,73.3
Vasanasi Dehat,2,SLL Crimes,557,11.6
Vasanasi Dehat,3,Crimes Against Women,385,8.0
Vasanasi Dehat,4,Crimes Against Children,141,2.9
Vasanasi Dehat,5,Crimes Against SCs,90,1.9
